,Location,new_reviews,Comp
7,España,en general excelente fantástica situación dos pegas importante para mí 25 dolare por guardar mis maletas 3 horas en la salida habia nevera ni calentador de agua en la habitación los solicite ofrecieron ponerlos con cargo read read less,Neutral
8,Montréal,les chambre familiales sont pratique nous étion 7 et cest agréable dêtre tous ensemble cependant le personnel est exécrable lindividu à laccueil sest permis de dire à mon mari quil était trop lend lor de lenregistrement cest inacceptable de plus la climatisation est extrêmement bruyante plusieur dentre nous ont eu beaucoup de difficulté à dormir read read less,Neutral
9,"Grand Cayman, Cayman Islands",nan,Neutral
12,savasse France,propreté impeccable chambre refaite tous les jour read read less,Neutral
16,Toulon,vétuste mérite un sacré rafraîchissement emplacement idéal read read less,Neutral
17,Lake Buena Vista - Orlando,lunica cosa accettabile è stata la cortesia ricevuta al check tutto il resto da cancellare camera vecchia male insonorizzata mobili vecchi e maltenuti illuminazione fatta malissimo e nonostante tutto abbiamo faticato farcela assegnare la prima camera che abbiamo ricevuto è al piano della strada con parcheggi 50 metri questa camera è maleodorante di con mobili vecchi e scrostati guardate attentamente le condizioni perché compaiono 25giorno per servizi che dicono di offrire come ad esempio la navetta per parchi non è così le navette non servono parchi degli universal studios e non servono laeroporto quindi lunico modo per spostarsi è il taxi peraltro abbastanza costoso una mattina si sono inventati un aumento di 11 tasse e mancia al 18 persona perché ospitavano alcuni osceni personaggi disney eravamo stati questo hotel 18 anni fa ora non ci mai più read read less,Neutral
18,Australia,make -PRON- pay gym facility do not use optional fee come see new york work read read less,Neutral
20,México,todo excelente muy buenas instalacione excelente servico read read less,Neutral
22,"San Antonio,TX",like everything except smoke pool ruin outdoor relaxation smell bad pool read read less,Neutral
31,Apollo Beach,do not like charge parking resort fee read read less,Neutral
34,Santa Cruz.,pleasant hotel little disappointed go restaurant order take pool side dine bad thing expect order food go back 10 min later good hotel pool restaurant photo expect little bit service also charge 100 incidental charge expect deduct wait 3 5 day return account cool read read less,Neutral
36,New York,need staff chk wait family stand car underwhelming take entirely long read read less,Neutral
38,Ft. Lauderdale,everything look great parking bad big event conference area event plenty parking read read less,Neutral
41,Oak Grove,fridge microwave room park 20 per night ridiculous property congest area straight gouging read read less,Neutral
