,Location,new_reviews,Comp
0,Sebastian,impressed resort great staff main resort pool bar blast clean professional staff great location reasonable read read less,Positive
1,Los Angeles,room nice outside need work also free breakfast would nice overall ok read read less,Positive
2,Georgia,great location stay hotel last three trip new york read read less,Positive
3,Palm Harbor,great location room large spacious parking easy appreciate friendly staff read read less,Positive
4,California,clean friendly love location restaurant inside excellent food service bathroom little small -PRON- be vintage overall would definitely stay read read less,Positive
5,Redding,nice quiet clean room return back area read read less,Positive
6,Jacksonville,room seem clean sort orange sticky glop bathroom counter travel size lotion provide already empty like could text valet car waiting read read less,Positive
10,La quinta,enjoy stay staff welcome friendly choose location weekend friend book room request rollaway bed call front desk extra bed request explain since two bed could accommodate -PRON- rollaway give option book available stay overall nice experience read read less,Positive
11,Seattle,well keep complimentary breakfast read read less,Positive
13,Riverside,send parent anniversary trip want stay local want get away heat riverside stay two day say property seclude clean feel safe area hotel clean comfortable nice view staff friendly find reservation issue downside pay 20 per day parking parking private do not worry car break plus extra cost do not expect great location site seeing read read less,Positive
14,"Champaign, IL",beautiful clean friendly staff variety activity adult child would definitely choose stay read read less,Positive
19,Las Vegas,friendly staff clean property secure parking easy freeway access read read less,Positive
21,Miami,like everything hotel personal good service read read less,Positive
23,Bayonne nj,love alot pool term choice restaurant grand hotel limit good quality alright high price pay nothing extravagant read read less,Positive
24,Corinth,everything great walk lobby smell nice read read less,Positive
25,New Jersey,complementary breakfast close everything disney spring remarkable read read less,Positive
26,Venice,great location two pool nice staff friendly read read less,Positive
27,Chicago,place reasonable food dessert breakfast lunch 30 supper 60 notice several parent wait pizza delivery charge parking people stick first night eat beef jerky nuts gift shop stinky fruit pool area try blow bush stinky need safe open take long time get room clean except mold shower rain lot inside activity yoga zumba rainy season definitely will not back read read less,Positive
28,"High Springs, FL",super convenient location right next penn station read read less,Positive
29,Tokyo,reasonable price hotel tiny room ok consider location minute penn station walk distance broadway theater fitness facility well expect hotel staff friendly lobby staff especially read read less,Positive
30,Mooresville NC,entire staff friendly helpful location perfect read read less,Positive
32,"Fresno, CA",front desk staff manager super friendly accommodating room be not ready yet 3 p.m. checkin time upgrade king suite extra charge hotel within walk distance disneylanddca room nice clean wellkept new furnishing linen stain carpet ac excellent etc would gladly stay read read less,Positive
33,Pittsburgh,love swimming pool good location seaworld entertainment read read less,Positive
35,Puerto Rico,super todo cerca buen servicio buena comida recomendado read read less,Positive
37,Panama City,1st know right away would not stay property right check go self park find be not give code gate go valet get code go get room mind self parking room completely opposite side hotel property next realize charge parking forgot mention handicap tag call front desk explain get tell would get refund card put file sound great problem solve next day have not receive notification refund also get notice car go get tow do not park tag dashwhen be not give anything front desk go talk front desk morning park say charge handicap end give parking tag overall worth even small cost stay stay property disney benefit suggest look disney value resort inside hotel room general feel damp comforter bed damp friendliness staff much less acceptable enjoy get wrong information threat tow vehicle mistake read read less,Positive
39,Chicago,property amaze many great thing kid perfect place people kid kid read read less,Positive
40,Shreveport,great location food tic toc excellent staff friendly accommodating read read less,Positive
43,Sydney Australia,central close madison squaer garden penn station room small clean minor issuehallway lobby floor date staff helpful polite read read less,Positive
45,Toronto,room size cleanliness nice staff close many attraction read read less,Positive
46,Ottawa Ont,property nice clean however stay 2 night one ever come clean room lack towelsgarbage need empty etc self parking fee 22 -PRON- per night way high option read read less,Positive
47,Weeki Wachee Fl.,minute arrive minute leave customer treat like family read read less,Positive
48,St. Pete,beautiful resort property pristine pool lush landscape koi pond family friendly activity poolside bar numerous dining option read read less,Positive
51,North Carolina,overall property pleasing room clean pleased complain parking exception valet park 25 per night parking property do not want pay valet service likely park vehicle block away property street read read less,Positive
52,Jacksonville,picture expedia mislead actual property photo lobby accurate however location great ground well keep actual room bit different bathroom extremely small little room move let alone fit two guest bathtub crackedpeele one corner stain tub floor also mirror room aside mirror bathroom be not conductive two guest likely will not stay location read read less,Positive
54,"Irvine, CA",property beautiful staff great would nice restaurant guest could dinner read read less,Positive
55,Illinois,great staff location easy access subway penn station read read less,Positive
56,Texas,enjoy stay new yorker location great staff facility awesome love art deco architecture read read less,Positive
57,California,family stay three night really nice hotel close disneyland staff super friendly always smile room nicely update quite except air conditioning unit thing rattle throughout night exhausted park day do not wake -PRON- first night walk park take 10 minuet room spacious do not feel cramp four people move around bathroom nice clean decent counter space shower big enough room move without touch side could use place put stuff though small corner shelf thing shower floor first time staying will not last read read less,Positive
58,"Sebastian, FL",do not get explore much due inclement weather see excellent parking bit obnoxious definitely could well downfall notice back read read less,Positive
59,Seattle,property awesome first day little frustrating room ready early request flight get super early wait lobby 2 12 hour able get -PRON- check room great pool crowd many choose restaurant great well thank goodness little coffee shop downstairs open early late kid enjoy stay last night even catch fireworks hotel balcony read read less,Positive
60,"Palm Island, Florida",great hotel room wonderful pool fantastic read read less,Positive
61,Pennsylvania,property always clean property land lake stunning happy stay thank read read less,Positive
62,Vancouver,room clean hallway cleanliness okay best -PRON- be sleep hallway location good easy get everywhere penn station walk bummer photo make everything look much grand really foyer underwhelme comparison photo site room look spacious wonderful photo reality small give new york size be not really shocking expect photo little blah read read less,Positive
63,"Columbia, SC",nice hotel could clean pool could maintain well kid area could redone provide well water play area child read read less,Positive
64,"Savannah, GA",entire staff professional kind extemely helpful come planning visit disney world magic kingdom yasir best go beyond explain detail purchade disney pass download use disney experience app activate fast pass etc without day would not go smooth get disney thank much yasir definitely come back location read read less,Positive
66,Brick,great property clean ground nice pool room could definitely use little modernizing compare other area overall nice affordable place stay read read less,Positive
67,Wichita KS,property great issue day shift get room 5 hour arrive system go room able give tell write name phone number piece computer paper would call system back check bag baggage counter wait 15 hour get tired wait go park 5 hour return park system back call anything 7 5 yr old fly kc dirty tiredthe day manager state could not comp room night do not authority give -PRON- free breakfast give -PRON- room key get room try go someone already room 1200am return front desk night manager upgrade us tower ok that s fine get 10th floor try key do not work drag kid wife back lobby time give -PRON- room key work still do not know bag night manager awesome reason authority comp -PRON- 2 night give -PRON- another free breakfast night manager great help everything could make sure cleaned manager mess even bring bag room personally good part hotel read read less,Positive
69,Lake Buena Vista,location excellent hotel room small clean pool good read read less,Positive
70,"Chicago, IL",one room ready 5 p.m. do not mind ton since one layout hotel bit confusing first like close disney springs shuttle service excellent pool nice little one food pool amazing read read less,Positive
71,Seattle WA,great stay would stay close disneyland read read less,Positive
72,South bend Indiana,layout location great offer yoga free mondays wednesday excercise room nice pool room spacious comfortable read read less,Positive
74,Daytona,stay girlfriend birthday prior stay message hotel addition birthday add would pay advance appreciate none happen upon check front desk woman coarse seem overworked question amenity quickly avert topic bartender lobby nice seem everyone another countrythat talk that s fine become noticably bad arrive work visibly hang resort fine check hand map let -PRON- know everything quiet pool map look forward however reality unmonitore often run kid louder adult hot tub spa despite advertise small gym open anyone sauna stay kid everywhere do not bother use feature also duck property girl enjoy know florida wildlife come stay anywhere however really disheartening see kid young adult violently chase away time hotel staff outdoor attendant inform assist resort run stay would probably lot well read read less,Positive
75,charlotte,love property always friendly staff clean read read less,Positive
76,"Saint John, NB Canada",-PRON- have stay new yorker several time always pleased stay subway ac e train station outside hotel well crosstown uptown bus stop staff always friendly helpful trip thought book double room actually book single room double bed definitely error friend like brother do not fancy sleeping stay however staff able find -PRON- double room much delight highly recommend hotel hotel choice stay new york read read less,Positive
77,"Pernambuco, Brasil",local manhattan good near various attraction nyc read read less,Positive
78,Michigan,people property helpful nice especially shelton baggage desk bonnie pool property nice room bit date know go overall would definitely stay read read less,Positive
79,San Francisco,bar pool clean nice area read read less,Positive
81,"Washington, DC",stay 3 year ago though pleased accommodation hotel beginning look date fresh remember kayla front desk professional engage accommodate knowledgeabledelivered world class service read read less,Positive
83,Toronto,room date definitely need upgrade housekeeping always great job keep clean provide toiletry towel stay find odd room do not come coffee maker sure standard hotel there s starbuck mcdonald across street well dunkin donut next block hotel gym pretty big come lot treadmill equipment location good thing hotel right across penn station msg short walk away macys empire state building read read less,Positive
85,"Fontana,ca",clean nice room nice pool thing like pay 2200 dollar day selfparke top 3500 resort fee read read less,Positive
86,Guadalajara,hotel location ideal first time visitor times square empire state broadway walk distance also subway around corner room small that s understandable new york hotel offer fairly small room charge facility fee every night take surprise since book third party company aware read read less,Positive
87,Michigan,great checkin staff helpful beautiful lobby read read less,Positive
88,Maryland,liked location base purpose trip -PRON- be disney seem excellent location stay one sunset wing appear old part hotel however room nice clean pool nice poolside bar call oasis ok look like could use upgrade drink price reasonable read read less,Positive
89,Princeton,location ideal acce many event attraction staff friendly helpful room quiet although bit small adequate amount time spend read read less,Positive
90,"Vinton, VA 24179",hotel convenient penn station times square room adequate 2 guest bathroom large clean room small need staff pleasant always available direction help get cab need would definitely recommend stay new york read read less,Positive
91,Puerto Rico,great location walk distance disney spring read read less,Positive
94,Sparks nv,staff great property except able look like picture internet read read less,Positive
